City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Bengkulu,ID,84.24,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
255,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
260,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
262,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
269,Itarema,BR,76.95,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
271,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
276,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
277,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
280,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
283,Inhambane,MZ,78.8,overcast clouds,-23.865,35.3833,Oceano
284,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
289,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
291,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
297,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
305,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
312,Pedernales,DO,74.98,few clouds,18.0384,-71.744,Hotel Costa Marina
314,Manokwari,ID,82.76,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
320,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
323,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
334,Vanimo,PG,83.14,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
336,Coroata,BR,72.25,broken clouds,-4.13,-44.1242,Hotel Carvalho
338,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
347,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
348,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
351,Mana,GF,77.0,overcast clouds,5.6592,-53.7767,LE SAMANA
354,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
357,Baculin,PH,81.09,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
363,Sao Filipe,CV,71.58,clear sky,14.8961,-24.4956,Hotel Xaguate
366,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
371,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
374,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
376,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
379,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
383,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
384,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
385,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
386,Sur,OM,71.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
393,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
394,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
396,Dingle,PH,84.56,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
398,Ferkessedougou,CI,71.01,clear sky,9.6,-5.2,Hotel Chateau
